"date",total
"2011-12-05",214.19
"2011-12-06",215.60
"2011-12-07",216.99
"2011-12-08",216.99
"2011-12-09",216.99
"2011-12-10",216.99
"2011-12-11",216.99
"2011-12-12",218.51
"2011-12-13",219.88
"2011-12-14",221.19
"2011-12-15",221.19
"2011-12-16",221.19
"2011-12-17",221.19
"2011-12-18",221.19
"2011-12-19",221.19
"2011-12-20",221.19
"2011-12-21",221.19
"2011-12-22",221.19
"2011-12-23",221.19
"2011-12-24",221.19
"2011-12-25",221.19
"2011-12-26",221.19
"2011-12-27",221.19
"2011-12-28",221.19
"2011-12-29",221.19
"2011-12-30",221.19
"2011-12-31",221.19
"2012-01-01",221.19
"2012-01-02",221.19
"2012-01-03",222.61
"2012-01-04",223.98
"2012-01-05",223.98
"2012-01-06",223.98
"2012-01-07",223.98
"2012-01-08",223.98
"2012-01-09",225.39
"2012-01-10",226.76
"2012-01-11",228.14
"2012-01-12",228.14
"2012-01-13",228.14
"2012-01-14",228.14
"2012-01-15",228.14
"2012-01-16",229.71
"2012-01-17",231.02
"2012-01-18",232.38
"2012-01-19",232.38
"2012-01-20",232.38
"2012-01-21",232.38
"2012-01-22",232.38
"2012-01-23",233.86
"2012-01-24",235.32
"2012-01-25",236.73
"2012-01-26",236.73
"2012-01-27",236.73
"2012-01-28",236.73
"2012-01-29",236.73
"2012-01-30",238.22
"2012-01-31",239.70
"2012-02-01",241.09
"2012-02-02",241.09
"2012-02-03",241.09
"2012-02-04",241.09
"2012-02-05",241.09
"2012-02-06",241.09
"2012-02-07",241.09
"2012-02-08",241.09
"2012-02-09",241.09
"2012-02-10",241.09
"2012-02-11",241.09
"2012-02-12",241.09
"2012-02-13",242.30
"2012-02-14",243.54
"2012-02-15",244.77
"2012-02-16",244.77
"2012-02-17",244.77
"2012-02-18",244.77
"2012-02-19",244.77
"2012-02-20",246.18
"2012-02-21",247.45
"2012-02-22",248.71
"2012-02-23",248.71
"2012-02-24",248.71
"2012-02-25",248.71
"2012-02-26",248.71
"2012-02-27",250.11
"2012-02-28",251.37
"2012-02-29",252.63
"2012-03-01",252.63
"2012-03-02",252.63
"2012-03-03",252.63
"2012-03-04",252.63
"2012-03-05",254.03
"2012-03-06",255.27
"2012-03-07",256.55
"2012-03-08",256.55
"2012-03-09",256.55
"2012-03-10",256.55
"2012-03-11",256.55
"2012-03-12",257.85
"2012-03-13",259.10
"2012-03-14",260.36
"2012-03-15",260.36
"2012-03-16",260.36
"2012-03-17",260.36
"2012-03-18",260.36
"2012-03-19",261.71
"2012-03-20",262.98
"2012-03-21",262.98
"2012-03-22",262.98
"2012-03-23",262.98
"2012-03-24",262.98
"2012-03-25",262.98
"2012-03-26",264.35
"2012-03-27",265.64
"2012-03-28",266.86
"2012-03-29",266.86
"2012-03-30",266.86
"2012-03-31",266.86
"2012-04-01",266.86
"2012-04-02",268.19
"2012-04-03",269.45
"2012-04-04",270.70
"2012-04-05",270.70
"2012-04-06",270.70
"2012-04-07",270.70
"2012-04-08",270.70
"2012-04-09",270.70
"2012-04-10",271.94
"2012-04-11",273.15
"2012-04-12",273.15
"2012-04-13",273.15
"2012-04-14",273.15
"2012-04-15",273.15
"2012-04-16",274.43
"2012-04-17",275.66
"2012-04-18",276.89
"2012-04-19",276.89
"2012-04-20",276.89
"2012-04-21",276.89
"2012-04-22",276.89
"2012-04-23",278.29
"2012-04-24",279.61
"2012-04-25",280.92
"2012-04-26",280.92
"2012-04-27",280.92
"2012-04-28",280.92
"2012-04-29",280.92
"2012-04-30",282.38
"2012-05-01",283.70
"2012-05-02",284.94
"2012-05-03",284.94
"2012-05-04",284.94
"2012-05-05",284.94
"2012-05-06",284.94
"2012-05-07",284.94
"2012-05-08",284.94
"2012-05-09",284.94
"2012-05-10",284.94
"2012-05-11",284.94
"2012-05-12",284.94
"2012-05-13",284.94
"2012-05-14",284.94
"2012-05-15",284.94
"2012-05-16",284.94
"2012-05-17",284.94
